SH4,PRODUTO
308,"Invertebrados aquáticos, exceto crustáceos e moluscos, vivos"
309,"Farinhas, pós e pellets, de peixe, crustáceos, moluscos e de outros invertebrados aquáticos, próprios para alimentação humana"
401,"Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes"
402,"Leite e nata, concentrados ou adicionados de açúcar ou de outros edulcorantes"
403,"Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau"
404,"Soro de leite, mesmo concentrado ou adicionado de açúcar ou de outros edulcorantes; produtos constituídos por componentes naturais do leite, mesmo adicionados de açúcar ou de outros edulcorantes, não especificados nem compreendidos em outras posições"
405,Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite
406,Queijos e requeijão
407,"Ovos de aves, com casca, frescos, conservados ou cozidos"
408,"Ovos de aves, sem casca, e gemas de ovos, frescos, secos, cozidos em água ou vapor, moldados, congelados ou conservados de outro modo, mesmo adicionados de açúcar ou de outros edulcorantes"
409,Mel natural
410,"Produtos comestíveis de origem animal, não especificados nem compreendidos noutras posições"
501,"Cabelos em bruto, mesmo lavados ou desengordurados; desperdícios de cabelo"
502,"Cerdas de porco ou de javali; pêlos de texugo e outros pêlos para escovas, pincéis e artigos semelhantes; desperdícios destas cerdas e pêlos"
503,"Crinas e seus desperdícios, mesmo em mantas"
504,"Tripas, bexigas e estômagos de animais, exceto peixes, inteiros ou em pedaços, frescos, refrigerados, congelados, salgados, secos ou defumados"
505,"Peles e outras partes de aves, com as suas penas ou penugem, penas e partes de penas (mesmo aparadas), penugem, em bruto ou simplesmente limpas, desinfectadas ou preparadas tendo em vista a sua conservação; pós e desperdícios de penas ou de partes de pena"
506,"Ossos e núcleos córneos, em bruto, desengordurados ou simplesmente preparados (mas não cortados sob forma determinada), acidulados ou degelatinados; pós e desperdícios destas matérias"
507,"Marfim, carapaças de tartaruga, barbas, incluídas as franjas, de baleia ou de outros mamíferos marinhos, chifres, galhadas, cascos, unhas, garras e bicos, em bruto ou simplesmente preparados, mas não cortados em forma determinada; pós e desperdícios desta"
508,"Coral e matérias semelhantes, em bruto ou simplesmente preparados, mas não trabalhados de outro modo; conchas e carapaças de moluscos, crustáceos ou de equinodermes e ossos de sépias, em bruto ou simplesmente preparados, etc."
509,Esponjas naturais de origem animal
510,"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo"
511,"Produtos de origem animal, não especificados nem compreendidos em outras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana"
601,"Bolbos, tubérculos, raízes tuberosas, rebentos e rizomas, em repouso vegetativo, em vegetação ou em flor; mudas, plantas e raízes de chicória, exceto as raízes da posição 1212"
602,"Outras plantas vivas (incluídas as suas raízes), estacas e enxertos; micélios de cogumelos"
603,"Flores e seus botões, cortados para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo"
604,"Folhagem, folhas, ramos e outras partes de plantas, sem flores nem botões de flores, e ervas, musgos e líquenes, para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo"
701,"Batatas, frescas ou refrigeradas"
702,"Tomates, frescos ou refrigerados"
703,"Cebolas, chalotas, alho comum, alho-porro e outros produtos hortícolas aliáceos, frescos ou refrigerados"
704,"Couves, couve-flor, repolho ou couve frisada, couve-rábano e produtos comestíveis semelhantes do género Brassica, frescos ou refrigerados"
705,"Alface (Lactuca sativa) e chicórias (Cichorium spp.), frescas ou refrigeradas"
706,"Cenouras, nabos, beterrabas para salada, cercefi, aipo-rábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados"
707,"Pepinos e pepininhos (cornichons), frescos ou refrigerados"
708,"Legumes de vagem, com ou sem vagem, frescos ou refrigerados"
709,"Outros produtos hortícolas, frescos ou refrigerados"
710,"Produtos hortícolas, não cozidos ou cozidos em água ou vapor, congelados"
711,"Produtos hortícolas conservados transitoriamente (por exemplo: com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprios para a alimentação nesse estado"
712,"Produtos hortícolas secos, mesmo cortados em pedaços ou fatias, ou ainda triturados ou em pó, mas sem qualquer outro preparo"
713,"Legumes de vagem, secos, em grão, mesmo pelados ou partidos"
714,"Raízes de mandioca, de araruta e de salepo, topinambos, batatas-doces e raízes ou tubérculos semelhantes, com elevado teor de fécula ou de inulina, frescos, refrigerados, congelados ou secos, mesmo cortados em pedaços ou em pellets; medula de sagueiro"
801,"Cocos, castanha do Brasil e castanha de caju, frescos ou secos, mesmo sem casca ou pelados"
802,"Outras frutas de casca rija, frescas ou secas, mesmo sem casca ou peladas"
803,Bananas frescas ou secas
804,"Tâmaras, figos, ananases (abacaxis), abacates, goiabas, mangas e mangostões, frescos ou secos"
805,"Citrinos, frescos ou secos"
806,Uvas frescas ou secas
807,"Melões, melancias e papaias (mamões), frescos"
808,"Maçãs, pêras e marmelos, frescos"
809,"Damascos, cerejas, pêssegos (incluídas as nectarinas), ameixas e abrunhos, frescos"
810,Outras frutas frescas
811,"Frutas, não cozidas ou cozidas em água ou vapor, congeladas, mesmo adicionadas de açúcar ou de outros edulcorantes"
812,"Frutas conservadas transitoriamente (por exemplo: com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprias para alimentação nesse estado"
813,"Frutas secas, exceto das posições 0801 a 0806; misturas de frutas secas ou de frutas de casca rija, do presente capítulo"
814,"Cascas de frutos cítricos, de melões ou de melancias, frescas, secas, congeladas ou apresentadas em água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação"
901,"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção"
902,"Chá, mesmo aromatizado"
903,Mate
904,"Pimenta (do género Piper); pimentos dos géneros Capsicum ou Pimenta, secos ou triturados ou em pó"
905,Baunilha
906,Canela e flores de caneleira
907,"Cravo-da-índia (frutos, flores e pedúnculos)"
908,"Noz-moscada, macis, amomos e cardamomos"
909,"Sementes de anis, badiana, funcho, coentro, cominho ou de alcaravia; bagas de zimbro"
910,"Gengibre, açafrão, curcuma, tomilho, louro, caril e outras especiarias"
1001,Trigo e mistura de trigo com centeio
1002,Centeio
1003,Cevada
1004,Aveia
1005,Milho
1006,Arroz
1007,Sorgo de grão
1008,"Trigo mourisco, painço e alpista; outros cereais"
1101,Farinhas de trigo ou de mistura de trigo com centeio
1102,"Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio"
1103,"Grumos, sêmolas e pellets, de cereais"
1104,"Grãos de cereais trabalhados de outro modo (por exemplo: descascados, pelados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 1006; germes de cereais, inteiros, esmagados, em flocos ou moídos"
1105,"Farinha, sêmola, pó, flocos, grânulos e pellets de batata"
1106,"Farinhas, sêmolas e pós, de legumes de vagem secos da posição 0713, de sagu ou das raízes ou tubérculos da posição 0714 e dos produtos do Capítulo 8"
1107,"Malte, mesmo torrado"
1108,Amidos e féculas; inulina
1109,"Glúten de trigo, mesmo seco"
1201,"Soja, mesmo triturada"
1202,"Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados"
1203,Copra em grãos
1204,"Sementes de linho (linhaça), mesmo trituradas"
1205,"Sementes de nabo silvestre ou de colza, mesmo trituradas"
1206,"Sementes de girassol, mesmo trituradas"
1207,"Outras sementes e frutos oleaginosos, mesmo triturados"
1208,"Farinhas de sementes ou de frutos oleaginosos, exceto farinha de mostarda"
1209,"Sementes, frutos e esporos, para sementeira"
1210,"Cones de lúpulo, frescos ou secos, mesmo triturados ou moídos ou em pellets; lupulina"
1211,"Plantas, partes de plantas, sementes e frutos, das espécies utilizadas principalmente em perfumaria, medicina ou como insecticidas, parasiticidas e semelhantes, frescos ou secos, mesmo cortados, triturados ou em pó"
1212,"Alfarroba, algas, beterraba sacarina e cana-de-açúcar, frescas, refrigeradas, congeladas ou secas, mesmo em pó; caroços e amêndoas de frutos e outros produtos vegetais (incluídas as raízes de chicória não torradas, da variedade Cichorium intybus sativum) "
1213,"Palhas, cascas de cereais, em bruto, moidas, prensadas, etc."
1214,"Rutabagas, beterrabas forrageiras, raízes forrageiras, feno, luzerna, trevo, sanfeno, couves forrageiras, tremoço, ervilhaca e produtos forrageiros semelhantes, mesmo em pellets"
1301,"Goma-laca; gomas, resinas, gomas-resinas e oleorresinas (bálsamos por exemplo), naturais"
1302,"Sucos e extractos vegetais; matérias pécticas, pectinatos e pectatos; ágar-ágar e outros produtos mucilaginosos e espessantes derivados dos vegetais, mesmo modificados"
1401,"Matérias vegetais das espécies principalmente utilizadas em cestaria ou espartaria (por exemplo: bambus, rotins, canas, juncos, vimes, ráfia, palha de cereais limpa, branqueada ou tingida, casca de tília)"
1402,Matérias vegetais para enchimento e estofamento
1403,Matérias vegetais para fabricação de vassouras
1404,Produtos vegetais não especificados nem compreendidos noutras posições
1501,Gorduras de porco (incluindo a banha) e gordura de aves
1502,"Gorduras de animais das espécies bovina, ovina ou caprina, exceto as da posição 1503"
1503,"Estearina solar, óleo de banha de porco, óleo-estearina, óleo-margarina e óleo de sebo, não emulsionados nem misturados, nem preparados de outro modo"
1504,"Gorduras, óleos e respectivas fracções, de peixes ou de mamíferos marinhos, mesmo refinados, mas não quimicamente modificados"
1505,"Suarda e substâncias gordas dela derivadas, incluindo a lanolina"
1506,"Outras gorduras e óleos animais, e respectivas frações, mesmo refinados, mas não quimicamente modificados"
1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1508,"Óleo de amendoim e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1509,"Azeite de oliveira e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1510,"Outros óleos e respectivas frações, obtidos exclusivamente a partir de azeitonas, mesmo refinados, mas não quimicamente modificados, e misturas desses óleos ou frações com óleos ou frações da posição 15.09"
1511,"Óleo de palma e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1512,"Óleos de girassol, de cártamo ou de algodão e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1513,"Óleos de coco (óleo de copra), de palmiste ou de babaçu e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1514,"Óleos de nabo silvestre, de colza ou de mostarda, e respectivas fracções, mesmo refinados, mas não quimicamente modificados"
1515,"Outras gorduras e óleos vegetais (incluído o óleo de jojoba) e respectivas fracções, fixos, mesmo refinados, mas não quimicamente modificados"
1516,"Gorduras e óleos animais ou vegetais, e respectivas fracções, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo"
1517,"Margarina; misturas ou preparações alimentícias de gorduras ou de óleos animais ou vegetais ou de fracções das diferentes gorduras ou óleos do presente capítulo, exceto as gorduras e óleos alimentícios, e respectivas fracções, da posição 1516"
1518,"Gorduras e óleos animais ou vegetais, cozidos, oxidados, desidratados ou modificados quimicamente por qualquer outro processo"
1520,"Glicerol em bruto; águas e lixívias, glicéricas"
1521,"Ceras vegetais (exceto triglicéridos), ceras de abelha ou de outros insectos e espermacete, mesmo refinados ou corados"
1522,Dégras; resíduos provenientes do tratamento das substâncias gordas ou das ceras animais ou vegetais
1601,"Enchidos e produtos semelhantes, de carne, de miudezas ou de sangue; preparações alimentícias à base de tais produtos"
1602,"Outras preparações e conservas de carne, miudezas ou sangue"
1603,"Extratos e sucos de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos"
1604,Preparações e conservas de peixes; caviar e seus sucedâneos preparados a partir de ovas de peixe
1605,"Crustáceos, moluscos e outros invertebrados aquáticos, preparados ou em conservas"
1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido"
1702,"Outros açúcares, incluídos a lactose, maltose, glicose e frutose (levulose), quimicamente puras, no estado sólido; xaropes de açúcares, sem adição de aromatizantes ou de corantes; sucedâneos do mel, mesmo misturados com mel natural; açúcares e melaços car"
1703,Melaços resultantes da extracção ou refinação do açúcar
1704,Produtos de confeitaria sem cacau (incluído o chocolate branco)
1801,"Cacau inteiro ou partido, em bruto ou torrado"
1802,"Cascas, peliculas e outros desperdícios de cacau"
1803,"Pasta de cacau, mesmo desengordurada"
1804,"Manteiga, gordura e óleo, de cacau"
1805,"Cacau em pó, sem adição de açúcar ou outros edulcorantes"
1806,Chocolate e outras preparações alimentícias contendo cacau
1901,"Extractos de malte; preparações alimentícias de farinhas, grumos, sêmolas, amidos, féculas ou extractos de malte, não contendo cacau ou contendo-o numa proporção inferior a 40 %, em peso, não especificadas nem compreendidas noutras posições; preparações a"
1902,"Massas alimentícias, mesmo cozidas ou recheadas (de carne ou de outras substâncias) ou preparadas de outro modo, tais como esparguete, macarrão, aletria, lasanha, nhoque, raviole e canelone; cuscuz, mesmo preparado"
1903,"Tapioca e seus sucedâneos preparados a partir de féculas, em flocos, grumos, grãos, pérolas ou formas semelhantes"
1904,"Produtos à base de cereais, obtidos por expansão ou por torrefacção [por exemplo: flocos de milho (corn flakes)]; cereais (exceto milho) em grãos ou sob a forma de flocos ou de outros grãos trabalhados (com excepção da farinha, do grumo e da sêmola), pré"
1905,"Produtos de padaria, pastelaria ou da indústria de bolachas e biscoitos, mesmo adicionados de cacau; hóstias, cápsulas vazias para medicamentos, obreias, pastas secas de farinha, amido ou fécula em folhas e produtos semelhantes"
2001,"Produtos hortícolas, frutas e outras partes comestíveis de plantas, preparados ou conservados em vinagre ou em ácido acético"
2002,"Tomates preparados ou conservados, exceto em vinagre ou em ácido acético"
2003,"Cogumelos e trufas, preparados ou conservados, exceto em vinagre ou em ácido acético"
2004,"Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, congelados, com excepção dos produtos da posição 2006"
2005,"Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, não congelados, com excepção dos produtos da posição 2006"
2006,"Produtos hortícolas, frutas, cascas de frutas e outras partes de plantas, conservados com açúcar (passados por calda, glaceados ou cristalizados)"
2007,"Doces, geleias, marmelades, purés e pastas de frutas, obtidos por cozimento, com ou sem adição de açúcar ou de outros edulcorantes"
2008,"Frutas e outras partes comestíveis de plantas, preparadas ou conservadas de outro modo, com ou sem adição de açúcar ou de outros edulcorantes ou de álcool, não especificadas nem compreendidas noutras posições"
2009,"Sumos de frutas (incluídos os mostos de uvas) ou de produtos hortícolas, não fermentados, sem adição de álcool, com ou sem adição de açúcar ou de outros edulcorantes"
2101,"Extractos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate; chicória torrada e outros sucedâneos torrados do café e respectivos extractos, essências e concentrados"
2102,"Leveduras (vivas ou mortas); outros microrganismos monocelulares mortos (exceto as vacinas da posição 3002); pós para levedar, preparados"
2103,Preparações para molhos e molhos preparados; condimentos e temperos compostos; farinha de mostarda e mostarda preparada
2104,Preparações para caldos e sopas; caldos e sopas preparados; preparações alimentícias compostas homogeneizadas
2105,"Sorvetes, mesmo contendo cacau"
2106,Preparações alimentícias não especificadas nem compreendidas noutras posições
2201,"Águas, incluídas as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas; gelo e neve"
2202,"Águas, incluídas as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sumos de frutas ou de produtos hortícolas, da posição 2009"
2203,Cervejas de malte
2204,"Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009"
2205,Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou substâncias aromáticas
2206,Sidra e outras bebidas fermentadas e misturas de bebidas fermentadas
2207,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico"
2208,"Álcool etílico não desnaturado, com um teor alcoólico em volume inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas"
2209,"Vinagres e seus sucedâneos obtidos a partir do ácido acético, para usos alimentares"
2301,"Farinhas, pó e pellets, de carnes, miudezas, peixes ou crustáceos, moluscos ou outros invertebrados aquáticos, impróprios para a alimentação humana; torresmos"
2302,"Sêmeas, farelos e outros resíduos, mesmo em pellets, da peneiração, moagem ou de outros tratamentos de cereais ou de leguminosas"
2303,"Resíduos da fabricação do amido e resíduos semelhantes, polpas de beterraba, bagaço de cana-de-açúcar e outros desperdícios da indústria do açúcar, borras e desperdícios da indústria da cerveja e das destilarias, mesmo em pellets"
2304,Tortas e outros resíduos sólidos da extração do óleo de soja
2305,"Tortas e outros resíduos sólidos, mesmo triturados ou em pellets, da extração do óleo de amendoim"
2306,"Bagaços e outros resíduos sólidos, mesmo triturados ou em pellets, da extracção de gorduras ou óleos vegetais, exceto das posições 2304 e 2305"
2307,Borras de vinho; tártaro em bruto
2308,"Matérias vegetais e desperdícios vegetais, resíduos e subprodutos vegetais, mesmo em pellets, dos tipos utilizados na alimentação de animais, não especificados nem compreendidos noutras posições"
2309,Preparações dos tipos utilizados na alimentação de animais
2401,Tabaco não manufacturado; desperdícios de tabaco
2402,"Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos"
2403,"Outros produtos de tabaco e seus sucedâneos, manufaturados; tabaco ""homogeneizado"" ou ""reconstituído""; extratos e molhos de tabaco"
2404,"Produtos que contenham tabaco, tabaco reconstituído, nicotina ou sucedâneos do tabaco ou da nicotina, destinados à inalação sem combustão; outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano"
2501,"Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes"
2502,Piritas de ferro não ustuladas
2503,"Enxofre de qualquer espécie, exceto sublimado, precipitado ou coloidal"
2504,Grafite natural
2505,"Areias naturais de qualquer espécie, mesmo coradas, exceto areias metalíferas do Capítulo 26"
2506,"Quartzo (exceto areias naturais); quartzites, mesmo desbastadas ou simplesmente cortadas à serra ou por outro meio, em blocos ou placas de forma quadrada ou rectangular"
2507,"Caulim e outras argilas caulínicas, mesmo calcinadas"
2508,"Outras argilas (exceto argilas expandidas da posição 6806), andaluzite, cianite, silimanite, mesmo calcinadas; mulita; barro cozido em pó (terra de chamotte) e terra de dinas"
2509,Cre
2510,"Fosfatos de cálcio naturais, fosfatos aluminocálcicos naturais e cré fosfatado"
2511,"Sulfato de bário natural (baritina); carbonato de bário natural (witherite), mesmo calcinado, exceto o óxido de bário da posição 2816"
2512,"Farinhas siliciosas fósseis (por exemplo, kieselguhr, tripolita, diatomita) e outras terras siliciosas análogas de densidade aparente não superior a 1, mesmo calcinadas"
2513,"Pedra-pomes; esmeril; corindo natural, granada natural e outros abrasivos naturais, mesmo tratados termicamente"
2514,"Ardósia, mesmo desbastada ou simplesmente cortada a serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular"
2515,"Mármores, travertinos, granitos belgas e outras pedras calcárias de cantaria ou de construção, de densidade aparente igual ou superior a 2,5, e alabastro, mesmo desbastados ou simplesmente cortados à serra ou por outro meio, em blocos ou placas de forma q"
2516,"Granito, pórfiro, basalto, arenito e outras pedras de cantaria ou de construção, mesmo desbastados ou simplesmente cortados à serra ou por outro meio, em blocos ou placas de forma quadrada ou rectangular"
2517,"Calhaus, cascalho, pedras britadas, dos tipos geralmente usados em betão (concreto) ou para empedramento de estradas, de vias férreas ou outros balastros, seixos rolados e sílex, mesmo tratados termicamente; macadame de escórias de altos fornos, de outras"
2518,"Dolomite, mesmo sinterizada ou calcinada, incluindo a dolomite desbastada ou simplesmente cortada à serra ou por outro meio, em blocos ou placas de forma quadrada ou rectangular; aglomerado de dolomite"
2519,"Carbonato de magnésio natural (magnesite); magnésia electrofundida; magnésia calcinada a fundo (sinterizada), mesmo contendo pequenas quantidades de outros óxidos adicionados antes da sinterização; outro óxido de magnésio, mesmo puro"
2520,"Gipsite; anidrite; gesso, mesmo corado ou adicionado de pequenas quantidades de aceleradores ou de retardadores"
2521,Castinas; pedras calcárias utilizadas na fabricação de cal ou de cimento
2522,"Cal viva, cal apagada e cal hidráulica, com exclusão do óxido e do hidróxido de cálcio da posição 2825"
2523,"Cimentos hidráulicos (incluídos os cimentos não pulverizados, denominados clinkers), mesmo corados"
2524,Amianto
2525,"Mica, incluída a mica clivada em lamelas irregulares (splittings); desperdícios de mica"
2526,"Esteatite natural, mesmo desbastada ou simplesmente cortada à serra ou por outro meio, em blocos ou placas de forma quadrada ou rectangular; talco"
2527,Criolita natural e quiolita natural
2528,"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco"
2529,Feldspato; leucite; nefelina e nefelina-sienite; espatoflúor
2530,Matérias minerais não especificadas nem compreendidas em outras posições
2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)"
2602,"Minérios de manganês e seus concentrados, incluídos os minérios de manganês ferruginosos e seus concentrados, de teor de manganês de => 20%, em peso, sobre o produto seco"
2603,Minérios de cobre e seus concentrados
2604,Minérios de niquel e seus concentrados
2605,Minérios de cobalto e seus concentrados
2606,Minérios de alumínio e seus concentrados
2607,Minérios de chumbo e seus concentrados
2608,Minérios de zinco e seus concentrados
2609,Minérios de estanho e seus concentrados
2610,Minérios de cromo e seus concentrados
2611,Minérios de tungstênio e seus concentrados
2612,"Minérios de urânio ou de tório, e seus concentrados"
2613,Minérios de molibdénio e seus concentrados
2614,Minérios de titânio e seus concentrados
2615,"Minérios de nióbio, tântalo, vanádio ou de zircónio, e seus concentrados"
2616,Minérios de metais preciosos e seus concentrados
2617,Outros minérios e seus concentrados
2618,"Escória de altos-fornos granulada (areia de escória) proveniente da fabricação de ferro fundido, ferro ou aço"
2619,"Escórias (exceto escória de altos-fornos granulada) e outros desperdícios da fabricação de ferro fundido, ferro ou aço"
2620,"Cinzas e resíduos (exceto provenientes da fabricação  do ferro fundido, ferro ou aço) contendo arsénio, metais ou compostos de metais"
2621,"Outras escórias e cinzas, incluídas as cinzas de algas; cinzas e resíduos provenientes da incineração de resíduos municipais"
2701,"Hulhas; briquetes, bolas e combustíveis sólidos semelhantes, obtidos a partir da hulha"
2702,"Linhites, mesmo aglomeradas, exceto azeviche"
2703,"Turfa (incluindo a turfa para cama de animais), mesmo aglomerada"
2704,"Coques e semicoques de hulha, de linhita ou de turfa, mesmo aglomerados; carvão de retorta"
2705,"Gás de hulha, gás de água, gás pobre (gás de ar) e gases semelhantes, exceto gases de petróleo e outros hidrocarbonetos gasosos"
2706,"Alcatrões de hulha, de linhita ou de turfa e outros alcatrões minerais, mesmo desidratados ou parcialmente destilados, incluindo os alcatrões reconstituídos"
2707,Óleos e outros produtos provenientes da destilação dos alcatrões de hulha a alta temperatura; produtos análogos em que os constituintes aromáticos predominem em peso relativamente aos constituintes não aromáticos
2708,Breu e coque de breu obtidos a partir do alcatrão de hulha ou de outros alcatrões minerais
2709,Óleos brutos de petróleo ou de minerais betuminosos
2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento"
2711,Gás de petróleo e outros hidrocarbonetos gasosos
2712,"Vaselina; parafina, cera de petróleo microcristalina, slack wax, ozocerite, cera de linhite, cera de turfa, outras ceras minerais e produtos semelhantes obtidos por síntese ou por outros processos, mesmo corados"
2713,"Coque de petróleo, betume de petróleo e outros resíduos dos óleos de petróleo ou de minerais betuminosos"
2714,"Betumes e asfaltos, naturais; xistos e areias betuminosos; asfaltites e rochas asfálticas"
2715,"Misturas betuminosas à base de asfalto ou de betume naturais, de betume de petróleo, de alcatrão mineral ou de breu de alcatrão mineral (por exemplo, mástiques betuminosos e cut-backs)"
2716,Energia elétrica
2801,"Flúor, cloro, bromo e iodo"
2802,Enxofre sublimado ou precipitado; enxofre coloidal
2803,Carbono (negros-de-carbono e outras formas não compreendidas em outras posições)
2804,"Hidrogénio, gases raros e outros elementos não metálicos"
2805,"Metais alcalinos ou alcalino-terrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio"
2806,Cloreto de hidrogénio (ácido clorídrico); ácido clorossulfúrico
2807,Ácido sulfúrico e ácido sulfúrico fumante (oleum)
2808,Ácido nítrico; ácidos sulfonítricos
2809,"Pentóxido de difosfóro; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não"
2810,Óxidos de boro; ácidos bóricos
2811,Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos
2812,Halogenetos e oxialogenetos dos elementos não metálicos
2813,Sulfuretos dos elementos não metálicos; trissulfureto de fósforo comercial
2814,Amoníaco anidro ou em solução aquosa (amónia)
2815,Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio
2816,"Hidróxido e peróxido de magnésio; óxidos, hidróxidos e peróxidos, de estrôncio ou de bário"
2817,Óxido de zinco; peróxido de zinco
2818,"Corindo artificial, quimicamente definido ou não; óxido de alumínio; hidróxido de alumínio"
2819,Óxidos e hidróxidos de crómio
2820,Óxidos de manganés
